COLUMN_NAME,taxa,unit,TAXA_NAME,group,comments
ctyp_10m2,ctyp,10m2,Centropages typicus,zp,
calfin_10m2,calfin,10m2,Calanus finmarchicus,zp,
pseudo_10m2,pseudo,10m2,Pseudocalanus spp.,zp,
penilia_10m2,penilia,10m2,Penilia spp.,zp,
tlong_10m2,tlong,10m2,Temora longicornis,zp,
cham_10m2,cham,10m2,Centropages hamatus,zp,
echino_10m2,echino,10m2,Echinodermata,zp,
larvaceans_10m2,larvaceans,10m2,Appendicularians,zp,
para_10m2,para,10m2,Paracalanus parvus,zp,
gas_10m2,gas,10m2,Gastropoda,zp,
acarspp_10m2,acarspp,10m2,Acartia spp.,zp,
mlucens_10m2,mlucens,10m2,Metridia lucens,zp,
evadnespp_10m2,evadnespp,10m2,Evadne spp.,zp,
salps_10m2,salps,10m2,Salpa,zp,
oithspp_10m2,oithspp,10m2,Oithona spp.,zp,
cirr_10m2,cirr,10m2,Cirripedia,zp,
chaeto_10m2,chaeto,10m2,Chaetognatha,zp,
hyper_10m2,hyper,10m2,Hyperiidea,zp,
gam_10m2,gam,10m2,Gammaridea,zp,
evadnord_10m2,evadnord,10m2,Evadne nordmanni,zp,
calminor_10m2,calminor,10m2,Calanus minor,zp,
copepoda_10m2,copepoda,10m2,Copepoda,zp,
clauso_10m2,clauso,10m2,Clausocalanus arcuicornis,zp,
dec_10m2,dec,10m2,Decapoda,zp,
euph_10m2,euph,10m2,EuphausiaceaMany,zp,
prot_10m2,prot,10m2,Protozoa,zp,
acarlong_10m2,acarlong,10m2,Acartia longiremis,zp,
euc_10m2,euc,10m2,Eucalanus spp.,zp,
pel_10m2,pel,10m2,Pelecypoda,zp,
poly_10m2,poly,10m2,Polychaeta,zp,
podon_10m2,podon,10m2,Podon spp.,zp,
fish_10m2,fish,10m2,Pisces,zp,
bry_10m2,bry,10m2,Bryozoa,zp,
fur_10m2,fur,10m2,Clausocalanus furcatus,zp,
calspp_10m2,calspp,10m2,Calanus spp.,zp,
oncaea_10m2,oncaea,10m2,Oncaea spp.,zp,
cory_10m2,cory,10m2,Corycaeidae,zp,
ost_10m2,ost,10m2,Ostracoda,zp,
tstyl_10m2,tstyl,10m2,Temora stylifera,zp,
oithspin_10m2,oithspin,10m2,Oithona spinirostris,zp,
mysids_10m2,mysids,10m2,Mysidacea,zp,
temspp_10m2,temspp,10m2,Temora spp.,zp,
tort_10m2,tort,10m2,Tortanus discaudatus,zp,
paraspp_10m2,paraspp,10m2,Paracalanus spp.,zp,
scyphz_10m2,scyphz,10m2,Scyphozoa,zp,
anthz_10m2,anthz,10m2,Anthozoa,zp,
siph_10m2,siph,10m2,Siphonophores,zp,
hydrom_10m2,hydrom,10m2,Hydromedusea,zp,
coel_10m2,coel,10m2,Coelenterates,zp,
ctenop_10m2,ctenop,10m2,Ctenophores,zp,
euph1_10m2,euph1,10m2,Euphausiacea1,zp,
thysin_10m2,thysin,10m2,Thysanoessa inermis,zp,
megan_10m2,megan,10m2,Meganyctiphanes norvegica,zp,
thysra_10m2,thysra,10m2,Thysanoessa raschii,zp,
thyslo_10m2,thyslo,10m2,Thysanoessa longicaudata,zp,
eupham_10m2,eupham,10m2,Euphausia americana,zp,
euphkr_10m2,euphkr,10m2,Euphausia krohnii,zp,
euphspp_10m2,euphspp,10m2,Euphausia spp.,zp,
thysgr_10m2,thysgr,10m2,Thysanoessa gregaria,zp,
nemaspp_10m2,nemaspp,10m2,Nematoscelis spp.,zp,
stylspp_10m2,stylspp,10m2,Stylocheiron spp.,zp,
stylel_10m2,stylel,10m2,Stylocheiron elongatum,zp,
nemame_10m2,nemame,10m2,Nematoscelis megalops,zp,
thysspp_10m2,thysspp,10m2,Thysanoessa spp.,zp,
shysac_10m2,shysac,10m2,Thysanopoda acutifrons,zp,
thypsp_10m2,thypsp,10m2,Thysanoessa spinifera,zp,
nemabo_10m2,nemabo,10m2,Nematobrachion boopis,zp,
thecos_10m2,thecos,10m2,Thecosomata,zp,
spirre_10m2,spirre,10m2,Spiratella retroversa,zp,
spirhe_10m2,spirhe,10m2,Spiratella helicina,zp,
spirin_10m2,spirin,10m2,Spiratella inflata,zp,
spirtr_10m2,spirtr,10m2,Spiratella trochiformes,zp,
spirspp_10m2,spirspp,10m2,Spiratella spp.,zp,
clispp_10m2,clispp,10m2,Clione spp.,zp,
crevir_10m2,crevir,10m2,Creseis virgula conica,zp,
diatri_10m2,diatri,10m2,Diacria trispinosa,zp,
clicus_10m2,clicus,10m2,Clione cuspidata,zp,
clipyr_10m2,clipyr,10m2,Clione pyramidata,zp,
cavunc_10m2,cavunc,10m2,Cavolina uncinata,zp,
cavinf_10m2,cavinf,10m2,Cavolina inflexa,zp,
cavlon_10m2,cavlon,10m2,Cavolina longirostris,zp,
stysub_10m2,stysub,10m2,Styliola subula,zp,
spirbu_10m2,spirbu,10m2,Spiratella bulimoides,zp,
crespp_10m2,crespp,10m2,Creseis spp.,zp,
cavspp_10m2,cavspp,10m2,Cavolinia,zp,
cavoli_10m2,cavoli,10m2,Cavoliniidae,zp,
gymnos_10m2,gymnos,10m2,Gymnosomata,zp,
pnespp_10m2,pnespp,10m2,Pneumodermopsis,zp,
paedol_10m2,paedol,10m2,Paedoclione doliiformis,zp,
clilim_10m2,clilim,10m2,Clione limacina,zp,
pnepau_10m2,pnepau,10m2,Pneumodermopsis paucidens,zp,
paupau_10m2,paupau,10m2,Pneumodermopsis paucidens,zp,this was a typo in v3_8
ctyp_100m3,ctyp,100m3,Centropages typicus,zp,
calfin_100m3,calfin,100m3,Calanus finmarchicus,zp,
pseudo_100m3,pseudo,100m3,Pseudocalanus spp.,zp,
penilia_100m3,penilia,100m3,Penilia spp.,zp,
tlong_100m3,tlong,100m3,Temora longicornis,zp,
cham_100m3,cham,100m3,Centropages hamatus,zp,
echino_100m3,echino,100m3,Echinodermata,zp,
larvaceans_100m3,larvaceans,100m3,Appendicularians,zp,
para_100m3,para,100m3,Paracalanus parvus,zp,
gas_100m3,gas,100m3,Gastropoda,zp,
acarspp_100m3,acarspp,100m3,Acartia spp.,zp,
mlucens_100m3,mlucens,100m3,Metridia lucens,zp,
evadnespp_100m3,evadnespp,100m3,Evadne spp.,zp,
salps_100m3,salps,100m3,Salpa,zp,
oithspp_100m3,oithspp,100m3,Oithona spp.,zp,
cirr_100m3,cirr,100m3,Cirripedia,zp,
chaeto_100m3,chaeto,100m3,Chaetognatha,zp,
hyper_100m3,hyper,100m3,Hyperiidea,zp,
gam_100m3,gam,100m3,Gammaridea,zp,
evadnord_100m3,evadnord,100m3,Evadne nordmanni,zp,
calminor_100m3,calminor,100m3,Calanus minor,zp,
copepoda_100m3,copepoda,100m3,Copepoda,zp,
clauso_10m3,clauso,100m3,Clausocalanus arcuicornis,zp,
dec_100m3,dec,100m3,Decapoda,zp,
euph_100m3,euph,100m3,EuphausiaceaMany,zp,
prot_100m3,prot,100m3,Protozoa,zp,
acarlong_100m3,acarlong,100m3,Acartia longiremis,zp,
euc_100m3,euc,100m3,Eucalanus spp.,zp,
pel_100m3,pel,100m3,Pelecypoda,zp,
poly_100m3,poly,100m3,Polychaeta,zp,
podon_100m3,podon,100m3,Podon spp.,zp,
fish_100m3,fish,100m3,Pisces,zp,
bry_100m3,bry,100m3,Bryozoa,zp,
fur_100m3,fur,100m3,Clausocalanus furcatus,zp,
calspp_100m3,calspp,100m3,Calanus spp.,zp,
oncaea_100m3,oncaea,100m3,Oncaea spp.,zp,
cory_100m3,cory,100m3,Corycaeidae,zp,
ost_100m3,ost,100m3,Ostracoda,zp,
tstyl_100m3,tstyl,100m3,Temora stylifera,zp,
oithspin_100m3,oithspin,100m3,Oithona spinirostris,zp,
mysids_100m3,mysids,100m3,Mysidacea,zp,
temspp_100m3,temspp,100m3,Temora spp.,zp,
tort_100m3,tort,100m3,Tortanus discaudatus,zp,
paraspp_100m3,paraspp,100m3,Paracalanus spp.,zp,
scyphz_100m3,scyphz,100m3,Scyphozoa,zp,
anthz_100m3,anthz,100m3,Anthozoa,zp,
siph_100m3,siph,100m3,Siphonophores,zp,
hydrom_100m3,hydrom,100m3,Hydromedusea,zp,
coel_100m3,coel,100m3,Coelenterates,zp,
ctenop_100m3,ctenop,100m3,Ctenophores,zp,
euph1_100m3,euph1,100m3,Euphausiacea1,zp,
thysin_100m3,thysin,100m3,Thysanoessa inermis,zp,
megan_100m3,megan,100m3,Meganyctiphanes norvegica,zp,
thysra_100m3,thysra,100m3,Thysanoessa raschii,zp,
thyslo_100m3,thyslo,100m3,Thysanoessa longicaudata,zp,
eupham_100m3,eupham,100m3,Euphausia americana,zp,
euphkr_100m3,euphkr,100m3,Euphausia krohnii,zp,
euphspp_100m3,euphspp,100m3,Euphausia spp.,zp,
thysgr_100m3,thysgr,100m3,Thysanoessa gregaria,zp,
nemaspp_100m3,nemaspp,100m3,Nematoscelis spp.,zp,
stylspp_100m3,stylspp,100m3,Stylocheiron spp.,zp,
stylel_100m3,stylel,100m3,Stylocheiron elongatum,zp,
nemame_100m3,nemame,100m3,Nematoscelis megalops,zp,
thysspp_100m3,thysspp,100m3,Thysanoessa spp.,zp,
shysac_100m3,shysac,100m3,Thysanopoda acutifrons,zp,
thypsp_100m3,thypsp,100m3,Thysanoessa spinifera,zp,
nemabo_100m3,nemabo,100m3,Nematobrachion boopis,zp,
thecos_100m3,thecos,100m3,Thecosomata,zp,
spirre_100m3,spirre,100m3,Spiratella retroversa,zp,
spirhe_100m3,spirhe,100m3,Spiratella helicina,zp,
spirin_100m3,spirin,100m3,Spiratella inflata,zp,
spirtr_100m3,spirtr,100m3,Spiratella trochiformes,zp,
spirspp_100m3,spirspp,100m3,Spiratella spp.,zp,
clispp_100m3,clispp,100m3,Clione spp.,zp,
crevir_100m3,crevir,100m3,Creseis virgula conica,zp,
diatri_100m3,diatri,100m3,Diacria trispinosa,zp,
clicus_100m3,clicus,100m3,Clione cuspidata,zp,
clipyr_100m3,clipyr,100m3,Clione pyramidata,zp,
cavunc_100m3,cavunc,100m3,Cavolina uncinata,zp,
cavinf_100m3,cavinf,100m3,Cavolina inflexa,zp,
cavlon_100m3,cavlon,100m3,Cavolina longirostris,zp,
stysub_100m3,stysub,100m3,Styliola subula,zp,
spirbu_100m3,spirbu,100m3,Spiratella bulimoides,zp,
crespp_100m3,crespp,100m3,Creseis spp.,zp,
cavspp_100m3,cavspp,100m3,Cavolinia,zp,
cavoli_100m3,cavoli,100m3,Cavoliniidae,zp,
gymnos_100m3,gymnos,100m3,Gymnosomata,zp,
pnespp_100m3,pnespp,100m3,Pneumodermopsis,zp,
paedol_100m3,paedol,100m3,Paedoclione doliiformis,zp,
clilim_100m3,clilim,100m3,Clione limacina,zp,
pnepau_100m3,pnepau,100m3,Pneumodermopsis paucidens,zp,
paupau_100m3,paupau,100m3,Pneumodermopsis paucidens,zp,this was a typo in v3_8
nofish_10m2,nofish,10m2,No larvae caught,fish,
bretyr_10m2,bretyr,10m2,Brevoortia tyrannus,fish,
cluhar_10m2,cluhar,10m2,Clupea harengus,fish,
cycspp_10m2,cycspp,10m2,Cyclothone spp.,fish,
diaspp_10m2,diaspp,10m2,Diaphus spp.,fish,
cermad_10m2,cermad,10m2,Ceratoscopelus maderensis,fish,
benspp_10m2,benspp,10m2,Benthosema spp.,fish,
urospp_10m2,urospp,10m2,Urophycis spp.,fish,
enccim_10m2,enccim,10m2,Enchelyopus cimbrius,fish,
gadmor_10m2,gadmor,10m2,Gadus morhua,fish,
melaeg_10m2,melaeg,10m2,Melanogrammus aeglefinus,fish,
polvir_10m2,polvir,10m2,Pollachius virens,fish,
meralb_10m2,meralb,10m2,Merluccius albidus,fish,
merbil_10m2,merbil,10m2,Merluccius bilinearis,fish,
centstr_10m2,centstr,10m2,Centropristis striata,fish,
pomsal_10m2,pomsal,10m2,Pomatomus saltatrix,fish,
cynreg_10m2,cynreg,10m2,Cynoscion regalis,fish,
leixan_10m2,leixan,10m2,Leiostomus xanthurus,fish,
menspp_10m2,menspp,10m2,Menticirrhus spp.,fish,
micund_10m2,micund,10m2,Micropogonias undulatus,fish,
tauads_10m2,tauads,10m2,Tautogolabrus adspersus,fish,
tauoni_10m2,tauoni,10m2,Tautoga onitis,fish,
auxspp_10m2,auxspp,10m2,Auxis spp.,fish,
scosco_10m2,scosco,10m2,Scomber scombrus,fish,
pepspp_10m2,pepspp,10m2,Peprilus spp.,fish,
sebspp_10m2,sebspp,10m2,Sebastes spp.,fish,
prispp_10m2,prispp,10m2,Prionotus spp.,fish,
myoaen_10m2,myoaen,10m2,Myoxocephalus aenaeus,fish,
myooct_10m2,myooct,10m2,Myoxocephalus octodecemspinosus,fish,
ammspp_10m2,ammspp,10m2,Ammodytes spp.,fish,
phogun_10m2,phogun,10m2,Pholis gunnellus,fish,
ulvsub_10m2,ulvsub,10m2,Ulvaria subbifurcata,fish,
anaspp_10m2,anaspp,10m2,Anarhichas spp.,fish,
citarc_10m2,citarc,10m2,Citharichthys arctifrons,fish,
etrspp_10m2,etrspp,10m2,Etropus spp.,fish,
syaspp_10m2,syaspp,10m2,Syacium spp.,fish,
botspp_10m2,botspp,10m2,Bothus spp.,fish,
hipobl_10m2,hipobl,10m2,Hippoglossina oblonga,fish,
parden_10m2,parden,10m2,Paralichthys dentatus,fish,
pseame_10m2,pseame,10m2,Pseudopleuronectes americanus,fish,
hippla_10m2,hippla,10m2,Hippoglossoides platessoides,fish,
limfer_10m2,limfer,10m2,Limanda ferruginea,fish,
glycyn_10m2,glycyn,10m2,Glyptocephalus cynoglossus,fish,
scoaqu_10m2,scoaqu,10m2,Scophthalmus aquosus,fish,
sypspp_10m2,sypspp,10m2,Symphurus spp.,fish,
lopame_10m2,lopame,10m2,Lophius americanus,fish,
nofish_100m3,nofish,100m3,No larvae caught,fish,
bretyr_100m3,bretyr,100m3,Brevoortia tyrannus,fish,
cluhar_100m3,cluhar,100m3,Clupea harengus,fish,
cycspp_100m3,cycspp,100m3,Cyclothone spp.,fish,
diaspp_100m3,diaspp,100m3,Diaphus spp.,fish,
cermad_100m3,cermad,100m3,Ceratoscopelus maderensis,fish,
benspp_100m3,benspp,100m3,Benthosema spp.,fish,
urospp_100m3,urospp,100m3,Urophycis spp.,fish,
enccim_100m3,enccim,100m3,Enchelyopus cimbrius,fish,
gadmor_100m3,gadmor,100m3,Gadus morhua,fish,
melaeg_100m3,melaeg,100m3,Melanogrammus aeglefinus,fish,
polvir_100m3,polvir,100m3,Pollachius virens,fish,
meralb_100m3,meralb,100m3,Merluccius albidus,fish,
merbil_100m3,merbil,100m3,Merluccius bilinearis,fish,
centstr_100m3,centstr,100m3,Centropristis striata,fish,
pomsal_100m3,pomsal,100m3,Pomatomus saltatrix,fish,
cynreg_100m3,cynreg,100m3,Cynoscion regalis,fish,
leixan_100m3,leixan,100m3,Leiostomus xanthurus,fish,
menspp_100m3,menspp,100m3,Menticirrhus spp.,fish,
micund_100m3,micund,100m3,Micropogonias undulatus,fish,
tauads_100m3,tauads,100m3,Tautogolabrus adspersus,fish,
tauoni_100m3,tauoni,100m3,Tautoga onitis,fish,
auxspp_100m3,auxspp,100m3,Auxis spp.,fish,
scosco_100m3,scosco,100m3,Scomber scombrus,fish,
pepspp_100m3,pepspp,100m3,Peprilus spp.,fish,
sebspp_100m3,sebspp,100m3,Sebastes spp.,fish,
prispp_100m3,prispp,100m3,Prionotus spp.,fish,
myoaen_100m3,myoaen,100m3,Myoxocephalus aenaeus,fish,
myooct_100m3,myooct,100m3,Myoxocephalus octodecemspinosus,fish,
ammspp_100m3,ammspp,100m3,Ammodytes spp.,fish,
phogun_100m3,phogun,100m3,Pholis gunnellus,fish,
ulvsub_100m3,ulvsub,100m3,Ulvaria subbifurcata,fish,
anaspp_100m3,anaspp,100m3,Anarhichas spp.,fish,
citarc_100m3,citarc,100m3,Citharichthys arctifrons,fish,
etrspp_100m3,etrspp,100m3,Etropus spp.,fish,
syaspp_100m3,syaspp,100m3,Syacium spp.,fish,
botspp_100m3,botspp,100m3,Bothus spp.,fish,
hipobl_100m3,hipobl,100m3,Hippoglossina oblonga,fish,
parden_100m3,parden,100m3,Paralichthys dentatus,fish,
pseame_100m3,pseame,100m3,Pseudopleuronectes americanus,fish,
hippla_100m3,hippla,100m3,Hippoglossoides platessoides,fish,
limfer_100m3,limfer,100m3,Limanda ferruginea,fish,
glycyn_100m3,glycyn,100m3,Glyptocephalus cynoglossus,fish,
scoaqu_100m3,scoaqu,100m3,Scophthalmus aquosus,fish,
sypspp_100m3,sypspp,100m3,Symphurus spp.,fish,
lopame_100m3,lopame,100m3,Lophius americanus,fish,
EUSPPKR,EUSPPKR,100m3,Euphausia spp.,zp,
STYLO,STYLO,100m3,Stylocheiron spp.,zp,
THYSAN,THYSAN,100m3,Thysanoessa spp.,zp,
